scheme,keep,seed,w_cex,speed_cex,speed_pool,minutes
hold,1.0,0,-0.1157586809,-0.4313236694,-0.044749335,3994
hold,1.0,1,-0.0253116302,-0.4263693316,-0.0105256807,3994
hold,1.0,2,0.3276639455,-0.2770517562,0.1350215729,3994
hold,1.0,3,0.0511388614,-0.3652316749,0.0196841574,3994
hold,1.0,4,-0.0434391672,-0.4264192136,-0.0177521566,3994
hold,1.0,5,-0.0771742099,-0.4213895757,-0.030190481,3994
hold,1.0,6,0.0712212996,-0.3567972475,0.0273601921,3994
hold,1.0,7,-0.0042967776,-0.4088153095,-0.0017490731,3994
hold,1.0,8,-0.1671267623,-0.4423081272,-0.0633363295,3994
hold,1.0,9,-0.0371407163,-0.4300955699,-0.0154020157,3994
hold,1.0,10,-0.0423700142,-0.4304706433,-0.0174976707,3994
hold,1.0,11,-0.2659548212,-0.4947844617,-0.1039455049,3994
hold,1.0,12,0.1335288314,-0.299967499,0.0462269387,3994
hold,1.0,13,-0.1313109587,-0.4351869777,-0.0505120355,3994
hold,1.0,14,-0.0219988969,-0.4071808478,-0.0087647154,3994
hold,1.0,15,0.1360429327,-0.3696271458,0.0582033099,3994
hold,1.0,16,-0.1085054299,-0.4145128791,-0.0405743598,3994
hold,1.0,17,0.0950679101,-0.3723632919,0.0391187365,3994
hold,1.0,18,-0.0254321325,-0.4059342202,-0.010067729,3994
hold,1.0,19,-0.0773588875,-0.429588746,-0.030846274,3994
hold,1.0,20,0.1224428254,-0.3627480617,0.0506131098,3994
hold,1.0,21,0.1041412031,-0.3675646242,0.0427284102,3994
hold,1.0,22,0.2044955303,-0.3188297087,0.0819596279,3994
hold,1.0,23,0.1237461034,-0.3410156499,0.0481588248,3994
hold,1.0,24,0.0485472917,-0.394182207,0.0201129057,3994
hold,1.0,25,-0.1004221762,-0.4172631841,-0.0380785465,3994
hold,1.0,26,-0.2339836868,-0.4759754759,-0.0902528112,3994
hold,1.0,27,-0.2420520073,-0.5017113341,-0.0977738732,3994
hold,1.0,28,0.2229523708,-0.2985728118,0.0856672278,3994
hold,1.0,29,0.103111376,-0.3531447027,0.0405995073,3994
hold,1.0,30,-0.104268687,-0.4400712419,-0.0415529763,3994
hold,1.0,31,-0.0003509121,-0.3973844005,-0.0001393981,3994
hold,1.0,32,-0.1600154166,-0.4743975228,-0.0654395762,3994
hold,1.0,33,-0.088203223,-0.4562178454,-0.0369782808,3994
hold,1.0,34,0.0130539896,-0.4154762937,0.0054953596,3994
hold,1.0,35,0.0296714441,-0.3697972547,0.0113079415,3994
hold,1.0,36,0.2523189899,-0.3119356626,0.105268544,3994
hold,1.0,37,0.0335512278,-0.3943337727,0.0136896881,3994
hold,1.0,38,0.2924853382,-0.2969667797,0.1227655534,3994
hold,1.0,39,-0.1958256369,-0.5050394187,-0.0827040856,3994
hold,0.8,0,0.5232293103,-0.2729917016,0.2995932066,3994
hold,0.8,1,0.7122987309,-0.1702917963,0.4216131225,3994
hold,0.8,2,0.6934467823,-0.1680623133,0.3801697834,3994
hold,0.8,3,0.6106955551,-0.2137157726,0.3352524589,3994
hold,0.8,4,0.5692715083,-0.2438589837,0.3222957713,3994
hold,0.8,5,0.5407888071,-0.2681729213,0.3158131084,3994
hold,0.8,6,0.669141851,-0.1808132044,0.3656844562,3994
hold,0.8,7,0.6334467912,-0.2304519136,0.3982478443,3994
hold,0.8,8,0.5374303232,-0.2604606804,0.302612719,3994
hold,0.8,9,0.6132110742,-0.221458293,0.3510976367,3994
hold,0.8,10,0.6070872434,-0.2404957871,0.3715886593,3994
hold,0.8,11,0.4628766763,-0.3189417248,0.2748543565,3994
hold,0.8,12,0.6302848204,-0.1892939385,0.3227054302,3994
hold,0.8,13,0.5812722395,-0.239218339,0.3320796775,3994
hold,0.8,14,0.6002473555,-0.2298432226,0.3451203849,3994
hold,0.8,15,0.6683644191,-0.1951357738,0.3932684417,3994
hold,0.8,16,0.5224213639,-0.2588777854,0.2831853762,3994
hold,0.8,17,0.6847351647,-0.1807534158,0.3925849193,3994
hold,0.8,18,0.5946140807,-0.2246684029,0.329540296,3994
