n,keep,seed,w_cex,rows,fitted
4000,0.5,0,0.13689082991906076,1997,True
4000,0.5,1,0.10425525625819006,1950,True
4000,0.5,2,0.23769292228483338,1991,True
4000,0.5,3,0.09342757799535269,2002,True
4000,0.5,4,-0.19587781996248246,2017,True
4000,0.5,5,-0.09876092762280675,1993,True
4000,0.5,6,0.26184875274014546,1987,True
4000,0.5,7,-0.43934480855295127,1973,True
4000,0.5,8,-0.19573897365302276,1996,True
4000,0.5,9,-0.07274057157571945,2002,True
4000,0.5,10,0.18314318276371286,1989,True
4000,0.5,11,-0.19698536725093382,2031,True
4000,0.5,12,-0.2433155238602497,1974,True
4000,0.5,13,0.016959342278192673,1962,True
4000,0.5,14,-0.010101190093666466,1990,True
4000,0.5,15,0.0406029996020745,2017,True
4000,0.5,16,-0.31700677837231583,1969,True
4000,0.5,17,-0.06292859920288774,1985,True
4000,0.5,18,-0.06488381012305286,2020,True
4000,0.5,19,0.15874009330304797,1992,True
4000,0.5,20,0.30973103800251156,1994,True
4000,0.5,21,0.3341210095498462,2049,True
4000,0.5,22,0.4711302911344877,1972,True
4000,0.5,23,0.5239774743615822,2007,True
4000,0.5,24,0.09224232412463809,2025,True
4000,0.5,25,0.05141584527193789,2008,True
4000,0.5,26,-0.4765108600610456,1984,True
4000,0.5,27,-0.026431956082757016,1982,True
4000,0.5,28,0.19656957648983278,1968,True
4000,0.5,29,0.3012395063592324,1974,True
4000,0.5,30,-0.04065547129378115,1993,True
4000,0.5,31,0.2914811749831823,1935,True
4000,0.5,32,-0.11460282007153784,2003,True
4000,0.5,33,0.14159394499738956,2021,True
4000,0.5,34,0.18330434204710366,1985,True
4000,0.5,35,0.0385376682631157,1953,True
4000,0.5,36,0.4573583158470341,2017,True
4000,0.5,37,0.22078959369497522,1986,True
4000,0.5,38,0.4226213152282246,1953,True
4000,0.5,39,-0.14408018290233804,2012,True
4000,0.25,0,0.13542912807750818,984,True
4000,0.25,1,-0.2105276577155739,978,True
4000,0.25,2,-0.16752752062756035,1002,True
4000,0.25,3,-0.12151667695806548,978,True
4000,0.25,4,-0.35012874376634395,1005,True
4000,0.25,5,0.4222861172858997,989,True
4000,0.25,6,0.3019494043872992,977,True
4000,0.25,7,-0.7267436790835138,1009,True
4000,0.25,8,0.27770809049116124,1000,True
4000,0.25,9,0.27422574421203544,974,True
4000,0.25,10,-0.13984348344982997,1030,True
4000,0.25,11,-0.10929080990789804,1045,True
4000,0.25,12,-0.11321428883510959,1010,True
4000,0.25,13,0.06411837425886546,952,True
4000,0.25,14,-0.14745105452811394,1016,True
4000,0.25,15,-0.048313647906332725,1020,True
4000,0.25,16,-0.8733367110716941,999,True
4000,0.25,17,-0.27046502907500475,975,True
4000,0.25,18,0.05459864842655366,992,True
4000,0.25,19,0.037981710784319264,1000,True
4000,0.25,20,-0.04526413301976626,995,True
4000,0.25,21,0.21114896833239397,1090,True
4000,0.25,22,0.3940514503768578,1004,True
4000,0.25,23,0.666360738189458,993,True
4000,0.25,24,-0.3478678717658323,1015,True
4000,0.25,25,-0.011849849354460684,994,True
4000,0.25,26,-0.2612442846035956,995,True
4000,0.25,27,-0.09584532637479366,1018,True
4000,0.25,28,0.3958226275346752,980,True
4000,0.25,29,0.17557590724618255,946,True
