symbol,cex_minutes,dex_minutes,window_minutes,paired_minutes,fill_rate,median_gap_min,max_gap_min,consecutive_share,first_ts,last_ts
CRCLX,1000,3000,998,310,0.3106,1,51,0.5825,1785339600,1785399300
TQQQX,1000,572,992,47,0.0474,2,382,0.4348,1785340440,1785398940
HOODX,1000,2145,981,100,0.1019,2,183,0.4444,1785341460,1785398340
TSLAX,1000,3000,994,530,0.5332,1,15,0.69,1785339540,1785399120
MSTRX,1000,3000,993,276,0.2779,2,40,0.4945,1785339780,1785399120
COINX,1000,2311,616,75,0.1218,1,131,0.5541,1785339780,1785376500
AVGOX,1000,1037,957,43,0.0449,5,358,0.119,1785340440,1785397020
NVDAX,1000,3000,988,506,0.5121,1,16,0.6733,1785339780,1785398940
SPYX,1000,3000,1000,184,0.184,1,85,0.5792,1785339780,1785399660
QQQX,1000,3000,999,429,0.4294,1,22,0.6402,1785345720,1785405600
SPCXX,1000,2212,992,70,0.0706,2,189,0.4203,1785346500,1785405240
KOX,1000,300,938,8,0.0085,71,346,0.0,1785349680,1785402000
GOOGLX,1000,3000,973,146,0.1501,2,149,0.4207,1785346620,1785404160
METAX,1000,2617,999,142,0.1421,2,89,0.4113,1785348060,1785405720
LLYX,1000,79,484,2,0.0041,245,245,0.0,1785360180,1785374880
NFLXX,1000,373,913,21,0.023,1,306,0.6,1785348060,1785400680
PGX,1000,257,860,2,0.0023,655,655,0.0,1785358260,1785397560
AAPLX,1000,2420,968,49,0.0506,7,176,0.1667,1785346440,1785404040
MCDX,1000,184,513,3,0.0058,223,237,0.0,1785350040,1785376800
AZNX,1000,66,709,1,0.0014,0,0,0.0,1785388620,1785388620
ACNX,1000,19,85,3,0.0353,28,53,0.0,1785347820,1785351180
UNHX,1000,270,855,1,0.0012,0,0,0.0,1785397380,1785397380
GLDX,1000,2999,915,264,0.2885,1,56,0.5475,1785346200,1785401040
AMZNX,1000,2900,971,99,0.102,2,124,0.4082,1785346680,1785404460
VTIX,1000,30,700,1,0.0014,0,0,0.0,1785388200,1785388200
