symbol,cex_pair,cex_volume_24h,mint,pool,dex,dex_liquidity,dex_volume_24h
AVGOX,AVGOX_USDT,756833,XsgSaSvNSqLTtFuyWPBhK9196Xb9Bbdyjj4fH3cPJGo,EkpbWmPzrzFsv2xkJRdvWs61aRuDBVdrJK7WQmctBFnB,raydium,122074,10138
CRCLX,CRCLX_USDT,525216,XsueG8BtpquVJX9LVLLEGuViXUungE6WmK5YZ3p3bd1,G39wywquKbHK8F2wZZZFX3fcsyG91VCCbbr6WEVp5axy,raydium,2878882,2187758
NVDAX,NVDAX_USDT,509480,Xsc9qvGR1efVDFGLrVsmkzv3qi45LTBjeUKSPmx9qEh,49iMatQtoyabsYAQc8GafVq6aeBFVDxSRH44oiatyyw6,raydium,2325474,1469331
HOODX,HOODX_USDT,496993,XsvNBAYkrDRNhA7wPHQfX3ZUXZyZLdnCQDfHZ56bzpg,DXWbip5LducMAbDSSpLYz9Xik3253EPeAYQufQtx7LXs,raydium,354387,255348
TSLAX,TSLAX_USDT,473177,XsDoVfqeBukxuZHWhdvWHBhgEHjGNst4MLodqsJHzoB,8aDaBQkTrS6HVMjyc6EZebgdiaXhLYGriDWKWWp1NpFF,raydium,1879837,2096346
COINX,COINX_USDT,365273,Xs7ZdzSHLU9ftNJsii5fCeJhoRWSC32SQGzGQtePxNu,w7SGmPeXoMCsjvXqgsAmUn56uypyDsjAtsxeVkaiqxa,raydium,660870,341264
MSTRX,MSTRX_USDT,302934,XsP7xzNPvEHS1m6qfanPUGjNmdnmsLKEoNAnHjdxxyZ,RyhF4cksVZY7vcqJpoytHcxcGNKRp27PEGhSnEPpbGv,raydium,645810,200390
AMZNX,AMZNX_USDT,286962,Xs3eBt7uRfJX8QUs4suhyU8p2M6DoUDrJyWBa8LLZsg,6m5aXAve4uh6Kt4ytKyCLWNMjd8PYP5vujwNCtycrUiD,raydium,232089,357629
SPCXX,SPCXX_USDT,284173,Xs3oZwbHvqis4NYcf4YKWmEia2eC84wSiVrcYcTqpH8,AHNN6JmvaGG6XUoSg7sEr38gRYDB2jTbUvqXVuqaRHpq,raydium,204659,28759
AAPLX,AAPLX_USDT,214647,XsbEhLAtcf6HdfpFZ5xEMdqW8nfAvcsP5bdudRLJzJp,CKwJZwm7oj3nu4653N1EpDrqXbXAYXoPFiPeEnLouF8y,raydium,54378,18744
QQQX,QQQX_USDT,179313,Xs8S1uUs1zvS2p7iwtsG3b6fkhpvmwz4GYU3gWAmWHZ,GMjGLWzvK75LPetrgAmdeXnvxc4fUuQPwJxeQqTDU1aG,raydium,2630704,834346
SPYX,SPYX_USDT,154051,XsoCS1TfEyfFhfvj8EtZ528L3CaKBDBRqRapnBbDF2W,6truu3rZuiB9rKQg4VYC3Dt3QwV7DgwGqXrYUcrvnDDE,raydium,2050206,209058
METAX,METAX_USDT,152754,Xsa62P5mvPszXL1krVUnU5ar38bBSVcWAB6fmPCo5Zu,9u2tVwNoeZSKwNY1jLcfxfzHMshXWrcvcu2PGbz2TSjU,orca,634078,1287
GOOGLX,GOOGLX_USDT,152590,XsCPL9dNWBMvFtTmwcCA5v3xWPSMEBCszbQdiLLq6aN,B8YAwjGYk6qidWzGBXMAxP7nYfG8g74EZ3Y4gFSsobRw,raydium,277110,91979
TQQQX,TQQQX_USDT,107583,XsjQP3iMAaQ3kQScQKthQpx9ALRbjKAjQtHg6TFomoc,Bztq1RwZmU4L7cCnkh5pVz4LnRZ2YUMBzQ5VC2ETg789,orca,74755,1680
NFLXX,NFLXX_USDT,103302,XsEH7wWfJJu2ZT3UCFeVfALnVA6CP5ur7Ee11KmzVpL,7RQXW5KEBgHCcy1eSNs1Kh7BWaEL46q8jb9t18S151bL,raydium,6096,18
KOX,KOX_USDT,88363,XsaBXg8dU5cPM6ehmVctMkVqoiRG2ZjMo1cyBJ3AykQ,7HNwUP5rSUo9GfdDthJn4UCdw2Px6h2aprSedD7r7J3C,raydium,8295,3782
MCDX,MCDX_USDT,72286,XsqE9cRRpzxcGKDXj1BJ7Xmg4GRhZoyY1KpmGSxAWT2,5MGvNj9RNKNmzwp1LtZuQkZonEYtKJ3JuiyNQEUU2DsF,raydium,14456,400
